parasite A,parasite B
70000,70000
90010.48933,87420.48
97929.88895,93220.62951
97007.13889,92656.00604
98924.55371,93844.164
96132.82016,92173.03645
98697.37727,93761.33169
97393.76729,92978.06556
97474.06044,93046.72111
97444.19602,93042.14618
97425.33632,93053.11732
97414.77272,93064.83794
97396.15867,93082.58014
97380.1073,93097.99269
97355.7041,93121.09469
97333.938,93142.02556
97302.68524,93171.63017
97274.1155,93199.08391
97234.8843,93236.28238
97198.35907,93271.3594
97149.7408,93317.50486
97103.75343,93361.64955
97043.83125,93418.57732
96986.3197,93473.77088
96912.52036,93543.9433
96840.73873,93612.82774
96749.72761,93699.43963
96660.14149,93785.42028
96547.71194,93892.51082
96435.87455,93999.87988
96296.79827,94132.48321
96157.17915,94266.59197
95984.99717,94430.94781
95810.74576,94598.44609
95597.48634,94802.28616
95380.11763,95011.44366
95115.93006,95264.36806
94844.92152,95525.49226
94517.61451,95839.45228
94179.90198,96165.42141
93774.37298,96555.33055
93353.73023,96962.26679
92851.26876,97446.76982
92327.55301,97954.88636
91705.00033,98557.32462
91053.24762,99191.98816
90282.00177,99941.6053
89471.36862,100734.6586
88516.2464,101668.0882
87508.82895,102659.4668
86326.85193,103822.5193
85076.49361,105062.1539
83615.78512,106511.8443
82067.15155,108061.725
80266.37588,109868.3014
78354.90877,111804.3083
76144.15415,114052.6266
73798.14021,116465.1477
71102.99408,119253.8855
68250.05822,122245.0686
65001.9829,125680.6365
61583.8818,129354.0061
57741.68262,133533.3092
53742.70814,137968.3595
49330.42925,142941.3226
44823.30247,148143.2979
39984.58315,153846.2372
35186.54395,159666.7957
30235.38176,165833.1036
25537.82191,171886.927
20948.30034,177989.4287
16848.77216,183653.6786
13112.84137,188995.3305
10012.04864,193606.9462
7398.638796,197624.4469
5388.980507,200825.0078
3816.027058,203398.7384
2682.908251,205303.3464
1845.695764,206736.4574
1269.275736,207740.4596
858.9680127,208462.4279
583.6881835,208951.6663
391.8067241,209294.306
264.6804694,209522.5602
177.0350523,209680.203
119.267826,209784.4275
79.66691491,209855.8972
53.60607407,209903.0205
35.79601008,209935.2133
24.07399858,209956.4298
16.07805923,209970.8931
10.81098114,209980.4304
7.222696124,209986.9231
4.856386238,209991.2085
3.245851572,209994.1231
2.18250401,209996.0489
1.459355462,209997.3577
0.981328755,209998.2235
0.656463431,209998.8114
0.441467172,209999.2008
0.295446976,209999.4651
