parasite A,parasite B
70000,70000
90078.93119,87351.17179
98046.57186,93108.26913
97143.24809,92527.21987
99099.05932,93659.62721
96357.9465,92003.88746
98897.38087,93478.8923
97687.72212,92739.05429
97762.90179,92754.61097
97764.83929,92735.1138
97783.45749,92713.19867
97801.13085,92696.95868
97828.75751,92671.03386
97852.59153,92648.07131
97888.52981,92614.2239
97920.97687,92583.04629
97967.00057,92539.69004
98009.61592,92498.80041
98067.31809,92444.41676
98121.70648,92392.30546
98192.97779,92325.09517
98261.18563,92259.83489
98348.58685,92177.37762
98433.42292,92096.31606
98540.42741,91995.34531
98645.66287,91894.92125
98776.80663,91771.1835
98907.31491,91646.80392
99068.32841,91494.93821
99230.22995,91340.85302
99428.20494,91154.24365
99629.06025,90963.37834
99872.68247,90733.95326
100121.7589,90497.67871
100421.6234,90215.64019
100730.2488,89923.47169
101099.2651,89576.95697
101481.2718,89216.18499
101935.1574,88790.86451
102407.4125,88346.12915
102965.2669,87824.76002
103548.2764,87277.59213
104233.2161,86639.55763
104951.7774,85967.9261
105791.5939,85188.81449
106675.442,84366.74811
107703.2051,83418.06307
108787.5502,82415.4654
110042.0094,81264.62553
111367.7689,80047.48197
112893.286,78658.3683
114506.667,77189.66577
116352.2243,75524.11983
118303.0897,73765.96019
120519.6568,71786.80956
122857.8159,69704.37049
125493.0529,67380.70554
128261.3446,64948.78741
131350.437,62264.17369
134573.4683,59476.83996
138125.2136,56440.60712
141793.4193,53323.48283
145772.226,49983.73238
149823.3169,46606.44976
154131.2462,43060.72184
158435.4715,39543.93645
162903.4388,35940.41389
167263.7196,32449.54035
171663.9645,28971.17225
175841.5913,25691.28053
179928.0101,22521.25125
183693.3446,19617.15043
187259.531,16896.46155
190448.2761,14474.29852
193376.1885,12271.49001
195922.485,10361.08576
198196.7466,8668.818928
200128.2216,7233.409717
201814.0785,5989.352153
203219.1282,4952.458574
204423.5007,4069.032468
205413.2885,3342.236825
206250.228,2730.906609
206931.2861,2232.552405
207501.4667,1817.26624
207962.3867,1480.805428
208345.5158,1202.290998
208653.923,977.5325293
208908.9689,792.3602787
209113.7543,643.2881092
209282.4836,520.8834447
209417.7755,422.4763311
209528.9472,341.8676405
209618.0328,277.1057161
209691.0892,224.1500495
209749.6244,181.6142391
209797.5539,146.8782998
209835.9635,118.9754288
209867.3761,96.2119459
209892.5587,77.92203533
209913.1338,63.01264152
