parasite A,parasite B
70000,70000
89117.644,87509.33333
96771.6323,93776.59834
96815.52059,93853.10042
96635.22456,93811.70467
96762.33528,93961.53071
96598.17317,93911.13351
96624.0466,93972.24457
96592.42364,94008.43068
96567.53751,94031.98037
96528.03264,94069.86128
96496.48352,94100.70249
96446.31438,94149.11343
96402.81046,94191.54856
96337.94894,94254.15595
96279.29779,94311.33196
96196.98606,94390.85761
96120.67904,94465.22686
96018.42257,94564.13332
95921.96275,94658.14867
95796.78985,94779.36535
95676.96065,94896.19524
95524.79955,95043.72895
95377.12638,95187.78844
95192.42941,95367.10302
95010.87995,95544.35706
94786.41478,95762.59764
94563.21439,95980.76034
94289.89025,96246.951
94015.33171,96515.70156
93681.9705,96841.00809
93344.14484,97172.29954
92937.1479,97570.41239
92521.55833,97978.9174
92024.44659,98466.58741
91513.49198,98970.30711
90906.31725,99568.0524
90278.65087,100189.1015
89537.29476,100922.0933
88767.08426,101687.6648
87862.4846,102586.7886
86918.62826,103530.2854
85816.0133,104633.3491
84661.42147,105795.6357
83319.70922,107148.6415
81910.86503,108579.2845
80282.53319,110237.5541
78569.74178,111995.745
76601.73875,114024.4328
74530.8136,116178.9367
72167.52004,118651.9819
69684.18728,121278.8282
66874.07698,124274.5668
63933.08028,127450.1686
60641.43363,131040.589
57222.87709,134826.6338
53453.04068,139055.9542
49587.85115,143471.517
45411.40613,148319.9561
41213.54679,153298.4795
36802.32158,158632.8323
32494.52353,163972.2274
28132.9395,169502.0979
24037.17247,174839.4268
20080.97703,180124.8361
16543.23259,184989.115
13309.0014,189549.8323
10571.31806,193518.6963
8208.614181,197023.7879
6313.667208,199902.9101
4762.289801,202304.053
3573.516873,204177.8929
2640.189903,205668.3271
1948.316468,206787.0704
1420.751253,207647.033
1037.793215,208276.2025
751.1269589,208749.2845
545.4875198,209090.2579
393.2427126,209343.2596
284.6831437,209524.1771
204.8285469,209657.3825
148.0365664,209752.2835
106.421417,209821.8413
76.84868217,209871.3279
55.23050252,209907.5
39.86598039,209933.2293
28.65205997,209952.0032
20.67732981,209965.3625
14.86353475,209975.0985
10.72576792,209982.0314
7.711874611,209987.0793
5.564960183,209990.6768
4.002302032,209993.2943
2.888172226,209995.1612
2.077737224,209996.5188
1.49942088,209997.4879
1.078971387,209998.1922
0.778695324,209998.6954
0.560492453,209999.0609
0.404534139,209999.3223
0.291252223,209999.512
