pA,pB
70000,70000
89262.292,87509.33333
97119.83292,93706.63742
97492.44317,93510.16696
97873.33366,92858.70959
98452.79544,92657.4657
98707.88741,92136.07998
99037.37103,91930.84683
99407.05031,91582.81527
99661.47006,91335.00203
100071.6005,90942.08941
100400.2531,90624.46217
100921.8653,90126.89297
101373.2004,89692.47406
102044.9107,89053.63368
102650.7575,88473.19565
103498.9935,87669.33747
104282.8199,86922.41201
105329.9327,85934.60551
106313.6162,85003.13631
107584.8821,83810.83178
108795.3333,82673.12444
110323.9849,81249.7822
111796.9392,79877.40958
113625.5397,78189.79279
115405.571,76548.29865
117583.9472,74559.15819
119721.2385,72611.88571
122301.3785,70285.46295
124845.3929,68000.10449
127872.9372,65310.425
130862.3703,62668.40461
134363.8135,59610.5446
137812.0403,56619.22114
141777.2367,53223.01917
145653.6163,49929.44781
150015.4672,46273.06381
154226.1695,42775.3782
158844.0418,38992.74841
163221.3956,35441.8636
167880.3659,31715.3454
172193.7831,28298.69008
176632.417,24830.42719
180629.3986,21735.44915
184596.8143,18701.87946
188064.8076,16070.63277
191385.314,13579.24658
194205.0146,11476.26273
196815.8995,9547.384685
198976.9748,7957.38983
200920.9078,6538.285854
202497.0867,5390.413942
203881.9531,4388.243511
204987.8512,3588.756796
205942.0068,2902.507042
206696.1048,2360.12978
207337.9196,1900.450432
207841.9038,1539.226352
208266.5459,1235.93433
208598.8047,998.3495925
208876.6795,800.2424249
209093.7545,645.263723
209274.2907,516.7023458
209415.284,416.1468283
209532.0471,333.059852
209623.2835,268.0363291
209698.5892,214.4743202
209757.4912,172.5152471
209805.978,138.038062
209843.9518,110.9961932
209875.1414,88.82200829
209899.6031,71.40641296
209919.6566,57.15067947
209935.4074,45.93871575
209948.2986,36.774937
209958.4386,29.55783337
209966.7257,23.66701087
209973.2534,19.02139902
209978.5814,15.23402139
209982.7839,12.24341182
209986.2101,9.807903509
209988.916,7.882433095
209991.1197,6.315882254
209992.8623,5.075977012
209994.2801,4.068090778
209995.4025,3.269502605
209996.3149,2.620876573
209997.038,2.106425115
209997.6253,1.688889118
209998.0912,1.357410831
209998.4694,1.08856132
209998.7697,0.874934682
209999.0132,0.701778341
209999.2068,0.564074872
209999.3637,0.452522504
209999.4885,0.36374101
209999.5896,0.291857789
209999.6701,0.234606314
209999.7353,0.188274263
209999.7872,0.151347951
209999.8292,0.121477781
